rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
156,0,8.8988,5.5352,6.4909,11.6636,6.3148,1.6993,4.8123,0.8666,36.43,-174.542,52.216,26.237937
157,0,8.5082,5.3227,6.4109,11.4855,6.3453,1.7043,4.8354,0.8638,36.33,-175.521,52.205,47.33725
158,0,8.5611,5.3054,6.5628,11.493,6.3755,1.7097,4.8584,0.8617,36.23,-175.746,52.184,34.756477
159,0,8.5363,5.3657,6.1674,11.4706,6.4052,1.7147,4.8811,0.8622,36.02,-175.264,52.172,33.385605
160,0,7.9417,4.9954,6.2939,11.2464,6.4351,1.7203,4.9039,0.8591,36.05,-175.812,52.094,52.601147
161,0,8.2771,5.1528,6.3581,11.4244,6.4648,1.7256,4.9267,0.8606,36.08,-176.659,52.088,44.2573
162,0,7.6046,4.8631,5.7236,11.0415,6.4939,1.7314,4.9491,0.8555,35.74,-176.165,52.057,41.156495
163,0,7.7693,4.8962,5.9041,11.1731,6.5242,1.7366,4.9722,0.855,36.34,-178.394,52.039,42.719805
164,0,8.0465,5.1312,5.4774,11.2153,6.5534,1.742,4.9948,0.8563,35.84,-179.237,52.045,65.097984
165,0,7.7938,4.9467,5.7922,11.1471,6.5834,1.7469,5.0174,0.8556,35.97,-179.236,52.044,55.054724
166,0,7.6014,4.5908,6.5233,11.2874,6.6129,1.7527,5.04,0.8572,35.88,-180.777,52.094,51.972639
167,0,8.4942,4.0659,8.0182,11.2101,6.6423,1.7583,5.0626,0.8625,35.93,-181.101,52.147,62.423022
168,0,8.1665,4.5295,7.1164,11.3205,6.6719,1.7642,5.0852,0.8651,35.86,-182.167,52.143,56.961318
169,0,8.3546,4.791,6.9513,11.4122,6.7017,1.77,5.108,0.8647,36.1,-184.127,52.165,80.687898
170,0,8.2833,4.8008,6.8617,11.4208,6.7316,1.7756,5.1309,0.8648,36.16,-185.921,52.157,66.977315
171,0,7.1366,4.0178,6.9456,10.9732,6.7609,1.7812,5.1534,0.8605,35.82,-185.607,52.126,69.456394
172,0,8.5176,4.7362,7.0056,11.5757,6.7901,1.7872,5.1759,0.8625,35.78,-185.034,52.108,76.220845
173,0,8.1279,4.6454,6.8157,11.4668,6.8197,1.7925,5.1986,0.8588,36.03,-186.704,52.119,103.269894
174,0,8.1384,4.717,6.6606,11.5608,6.8492,1.7983,5.2212,0.8602,35.87,-187.964,52.082,86.618419
175,0,9.4054,5.2344,7.0408,11.9302,6.8791,1.8038,5.2442,0.851,36.25,-189.982,52.051,85.573464
