rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1789,0,0.3334,0.6334,3.7948,7.5079,5.0333,0.0,0.408,0.8569,16.19,24.204,52.254
1790,0,0.3385,0.6385,3.7948,7.5072,5.0343,0.0,0.4072,0.8545,16.22,23.748,52.222
1791,0,0.3466,0.6466,3.7948,7.5133,5.0356,0.0,0.4065,0.8544,16.25,22.885,52.214
1792,0,0.3803,0.6803,3.7948,7.5203,5.0368,0.0,0.4057,0.8544,16.24,22.767,52.208
1793,0,0.3921,0.6921,3.7948,7.5161,5.0379,0.0,0.405,0.8538,16.28,23.155,52.208
1794,0,0.3137,0.6137,3.7948,7.5061,5.039,0.0,0.4043,0.8544,16.24,23.308,52.209
1795,0,0.3328,0.6328,3.7948,7.5025,5.0402,0.0,0.4035,0.8531,16.22,23.11,52.172
1796,0,0.3302,0.6302,3.7948,7.497,5.0414,0.0,0.4027,0.8547,16.24,23.372,52.208
1797,0,0.3406,0.6406,3.7948,7.5139,5.0424,0.0,0.4019,0.8552,16.16,23.656,52.228
1798,0,0.3634,0.6634,3.7948,7.5108,5.0435,0.0,0.4011,0.8558,16.2,23.333,52.233
1799,0,0.3426,0.6426,3.7948,7.5147,5.0444,0.0,0.4001,0.8545,16.07,23.281,52.211
1800,0,0.2924,0.5924,3.7948,7.4884,5.0456,0.0,0.3992,0.8562,16.16,23.344,52.267
1801,0,0.3848,0.6848,3.7948,7.5115,5.0466,0.0,0.3984,0.857,16.15,23.453,52.275
1802,0,0.326,0.626,3.7948,7.4969,5.0475,0.0,0.3975,0.8563,16.13,23.752,52.268
1803,0,0.2941,0.5941,3.7948,7.4893,5.0485,0.0,0.3968,0.8556,16.29,23.919,52.241
1804,0,0.3344,0.6344,3.7948,7.4882,5.0498,0.0,0.396,0.857,16.25,23.529,52.27
1805,0,0.3205,0.6205,3.7948,7.4884,5.0509,0.0,0.3952,0.8532,16.23,23.465,52.202
1806,0,0.3338,0.6338,3.7948,7.4929,5.0521,0.0,0.3945,0.8576,16.23,23.38,52.271
1807,0,0.3255,0.6255,3.7948,7.4956,5.0532,0.0,0.3938,0.8542,16.27,23.529,52.215
1808,0,0.3368,0.6368,3.7948,7.5056,5.0543,0.0,0.3931,0.8562,16.29,23.684,52.24
