rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
122,0,9.7506,5.0349,5.7769,11.0588,5.3346,2.2406,4.0089,0.8702,36.72,-151.844,52.292,13.175839
123,0,9.9291,5.3269,5.5534,11.1688,5.3671,2.2502,4.0327,0.8697,36.89,-152.757,52.274,20.438803
124,0,10.4352,5.5367,5.7704,11.2481,5.3997,2.2596,4.0565,0.8738,36.95,-154.076,52.45,13.867947
125,0,10.4674,5.4503,5.8757,11.2615,5.4323,2.2695,4.0802,0.8712,36.85,-155.768,52.45,14.237162
126,0,10.6278,5.7343,5.5533,11.4602,5.4645,2.2793,4.104,0.8684,36.85,-156.652,52.254,10.816501
127,0,10.4795,5.754,5.4473,11.3982,5.4971,2.2891,4.1277,0.8678,36.85,-157.478,52.207,15.714094
128,0,9.6183,5.7003,4.8047,11.2333,5.529,2.2991,4.1511,0.8641,36.62,-157.852,52.164,11.856702
129,0,10.2049,6.1593,4.6688,11.4968,5.5609,2.309,4.1745,0.8669,36.54,-157.669,52.202,15.652992
130,0,9.3115,5.7759,4.4965,11.1591,5.5928,2.319,4.198,0.8678,36.66,-158.948,52.316,11.554952
131,0,9.8079,6.0387,4.4891,11.4001,5.6247,2.3292,4.2216,0.8757,36.79,-160.427,52.492,17.816092
132,0,9.6314,6.153,4.3818,11.2165,5.6568,2.3389,4.245,0.879,36.61,-161.35,52.472,14.035161
133,0,9.6398,6.1985,4.3558,11.2056,5.6884,2.3486,4.2684,0.8807,36.5,-161.52,52.525,17.777843
134,0,9.1747,5.9331,4.322,11.0395,5.72,2.3581,4.2918,0.8788,36.58,-161.756,52.445,35.432529
135,0,8.8762,5.821,4.2485,10.9268,5.752,2.3678,4.3152,0.8798,36.6,-163.246,52.449,26.35159
136,0,8.72,5.653,4.3132,10.8738,5.7836,2.3777,4.338,0.872,36.13,-164.234,52.339,25.237225
137,0,9.3199,6.1013,4.2376,11.1009,5.8154,2.3871,4.3612,0.8767,36.37,-164.329,52.447,41.231106
138,0,9.0597,6.0109,4.1731,10.9957,5.847,2.3971,4.3843,0.8775,36.36,-165.982,52.47,33.392527
139,0,9.6536,6.1252,4.4196,11.2288,5.8786,2.4071,4.4074,0.8733,36.36,-167.319,52.303,32.954554
140,0,9.6397,6.0288,4.6264,11.1045,5.91,2.4172,4.4304,0.8707,36.19,-167.817,52.242,46.861947
141,0,9.7268,6.1553,4.5147,11.1768,5.9415,2.4272,4.4533,0.8705,36.17,-168.153,52.271,52.696884
142,0,9.8489,6.0518,4.6508,11.2663,5.973,2.4372,4.4762,0.8688,36.18,-169.493,52.182,41.167812
143,0,9.9105,6.0326,4.699,11.2989,6.0044,2.4473,4.4992,0.8671,36.25,-170.645,52.133,41.44941
144,0,9.3987,5.8034,4.6662,11.0492,6.0356,2.4575,4.522,0.8721,36.05,-171.063,52.193,59.235397
145,0,9.477,5.853,4.6967,11.0473,6.0672,2.4674,4.545,0.8756,36.24,-172.342,52.241,52.81093
146,0,9.5267,5.9544,4.544,11.1483,6.0985,2.4771,4.5678,0.8716,36.09,-173.412,52.239,51.194816
147,0,9.2041,5.7926,4.5406,10.9908,6.1296,2.4872,4.5905,0.873,36.05,-173.511,52.279,50.646238
148,0,8.9856,5.6155,4.5403,10.9497,6.1604,2.4973,4.6131,0.8669,35.84,-173.608,52.212,72.16186
149,0,8.9734,5.6101,4.5423,10.9411,6.1914,2.5074,4.6357,0.8669,35.95,-174.455,52.247,59.517926
150,0,9.1363,5.4694,4.645,11.1419,6.222,2.5175,4.6582,0.8682,35.81,-174.84,52.236,59.343409
151,0,9.1329,5.3102,4.7859,11.1568,6.2528,2.5278,4.6807,0.8664,35.84,-175.526,52.235,62.749817
152,0,9.1184,5.4587,4.5027,11.2769,6.2838,2.537,4.7032,0.8648,35.79,-176.404,52.215,59.471364
153,0,9.1799,5.5797,4.4335,11.2867,6.3145,2.5472,4.7258,0.8656,35.92,-177.312,52.22,65.776139
154,0,9.0372,5.4655,4.359,11.3327,6.3454,2.5568,4.7485,0.8602,36.04,-179.303,52.154,66.067371
155,0,9.4562,5.6486,4.4728,11.4548,6.3766,2.5666,4.7713,0.8621,36.05,-180.789,52.126,59.13373
156,0,8.9031,5.1231,4.6026,11.2974,6.4079,2.5758,4.7941,0.8557,36.07,-181.866,52.043,68.953803
157,0,9.1647,5.3667,4.5,11.4179,6.4393,2.585,4.817,0.8555,36.18,-183.231,52.025,63.308255
158,0,9.0664,5.4161,4.361,11.4093,6.4706,2.5947,4.8398,0.8568,36.06,-184.415,52.092,61.742164
159,0,9.4943,5.6297,4.4686,11.5159,6.5015,2.6043,4.8626,0.8606,36.05,-184.793,52.126,61.202544
160,0,9.3451,5.6917,4.2481,11.5253,6.5325,2.6144,4.8854,0.8561,36.11,-186.188,52.053,64.852998
161,0,9.6169,5.8019,4.3159,11.6191,6.5636,2.6243,4.9084,0.857,36.22,-187.432,52.069,63.50286
162,0,9.6555,5.8198,4.2153,11.7405,6.5941,2.6345,4.931,0.856,35.89,-187.413,52.112,62.678154
163,0,9.6598,5.8031,4.2149,11.7618,6.6257,2.6443,4.9543,0.858,36.5,-189.793,52.11,65.107124
164,0,10.3323,6.2781,4.1504,12.0238,6.6564,2.654,4.9772,0.8529,36.18,-190.957,52.0,72.924725
165,0,10.3861,6.2615,4.1841,12.0605,6.6877,2.6635,5.0002,0.8521,36.25,-191.184,51.994,68.942943
166,0,10.9117,6.1732,4.5997,12.2588,6.7188,2.6736,5.0233,0.8559,36.28,-193.19,52.034,71.348859
167,0,10.8884,6.2286,4.5649,12.2149,6.7499,2.6839,5.0465,0.8545,36.44,-194.63,52.017,73.029944
168,0,12.4517,6.9723,4.8224,12.7769,6.7813,2.6946,5.0697,0.8584,36.43,-196.764,52.086,65.632493
169,0,12.7122,6.7854,5.2428,12.804,6.8128,2.7053,5.0932,0.8554,36.64,-198.845,52.032,69.230807
170,0,12.8541,6.5458,5.6972,12.7311,6.8442,2.7158,5.1167,0.8553,36.65,-200.235,52.017,68.377245
171,0,12.4044,6.4265,5.5306,12.5673,6.8751,2.7262,5.1399,0.8549,36.37,-199.919,52.045,78.529485
172,0,12.7547,6.7861,5.2644,12.8243,6.9062,2.7365,5.163,0.8595,36.36,-199.744,52.135,68.682369
173,0,12.3872,6.9217,4.7901,12.7953,6.9374,2.7466,5.1864,0.8593,36.59,-201.563,52.105,79.316503
174,0,12.7144,6.9968,4.9029,12.9347,6.9683,2.7572,5.2096,0.8605,36.37,-202.429,52.124,102.523524
175,0,12.9135,7.1348,4.8272,13.0716,6.9997,2.7674,5.2331,0.8591,36.68,-204.123,52.102,87.225335
176,0,12.7387,7.3024,4.4698,13.0865,7.0306,2.7779,5.2564,0.8544,36.54,-205.386,52.043,89.969757
177,0,12.5434,7.1292,4.5094,13.0247,7.0621,2.7879,5.2801,0.8529,36.82,-206.696,52.032,85.627133
178,0,12.3324,6.8927,4.6294,12.9303,7.0929,2.7985,5.3034,0.8552,36.44,-207.66,52.05,104.096076
179,0,12.7697,6.9709,4.9214,12.9974,7.1242,2.8091,5.3268,0.8544,36.6,-208.223,52.029,101.770316
180,0,13.4733,7.5622,4.7566,13.2745,7.1551,2.8201,5.3502,0.8578,36.63,-209.712,52.1,100.831517
181,0,13.6901,7.5739,4.907,13.3291,7.1863,2.8312,5.3738,0.8589,36.74,-211.121,52.131,106.779278
182,0,13.4529,7.6609,4.5838,13.3282,7.2177,2.8418,5.3976,0.8562,36.89,-213.124,52.074,119.196891
183,0,13.3955,7.6515,4.5838,13.2802,7.2496,2.8517,5.4215,0.857,36.97,-214.735,52.092,120.831921
184,0,13.7086,8.0164,4.5063,13.3059,7.2813,2.8623,5.4453,0.8566,36.89,-216.245,52.106,124.775307
185,0,13.5982,7.8556,4.6197,13.243,7.3128,2.8728,5.4689,0.8555,36.82,-217.121,52.065,120.462691
186,0,13.4841,7.3437,5.1429,13.1175,7.344,2.8838,5.4926,0.8557,36.85,-217.619,52.058,144.005876
187,0,13.2375,7.4092,4.8272,13.1211,7.3755,2.8947,5.5163,0.8527,36.85,-219.08,52.031,132.875382
188,0,12.9034,7.3238,4.6543,13.0452,7.4071,2.9051,5.5399,0.8534,36.72,-219.884,52.06,130.944327
189,0,13.3829,7.487,4.7565,13.2594,7.4383,2.9158,5.5634,0.8543,36.67,-220.06,52.075,139.751445
190,0,12.5663,7.2919,4.4642,12.9302,7.4696,2.9262,5.5869,0.8611,36.66,-220.666,52.103,141.864685
191,0,12.7038,7.443,4.313,13.0678,7.5005,2.9369,5.6103,0.8584,36.63,-221.278,52.093,130.101433
192,0,12.6439,7.2876,4.5,12.9762,7.5323,2.9474,5.6342,0.8559,36.95,-223.867,52.05,143.375826
193,0,12.4963,7.0793,4.6213,12.9157,7.5637,2.9579,5.6577,0.8577,36.68,-225.473,52.062,140.415621
194,0,12.3166,7.0967,4.4571,12.8827,7.595,2.9686,5.6813,0.8557,36.73,-225.734,52.038,144.316214
195,0,12.5126,7.1895,4.5428,12.9003,7.6263,2.9792,5.7049,0.857,36.81,-226.941,52.086,129.006018
196,0,13.0959,7.5237,4.4253,13.2669,7.6579,2.99,5.7286,0.8578,36.79,-228.635,52.104,153.414651
197,0,13.1245,7.4157,4.63,13.1989,7.6896,3.0003,5.7524,0.8603,36.89,-230.349,52.147,121.679287
198,0,12.9869,7.352,4.5446,13.2104,7.7214,3.0107,5.7763,0.8564,37.03,-231.484,52.051,139.379404
199,0,13.4705,7.4493,4.7208,13.4204,7.7529,3.0214,5.8001,0.8569,36.95,-232.626,52.079,156.681792
200,0,14.0421,7.9467,4.5655,13.6498,7.7844,3.0325,5.824,0.865,36.95,-233.761,52.288,146.692804
201,0,14.6794,8.4065,4.4694,13.9235,7.8162,3.043,5.8481,0.8658,37.16,-235.65,52.253,149.587073
202,0,14.2666,8.3779,4.3171,13.6915,7.848,3.054,5.8721,0.8628,37.16,-237.121,52.116,165.825788
203,0,14.3448,8.3485,4.3544,13.7618,7.8796,3.0644,5.896,0.8613,36.93,-237.561,52.1,150.367939
204,0,14.3072,8.4065,4.4219,13.5989,7.9111,3.0753,5.9198,0.8618,36.95,-237.882,52.127,160.934891
205,0,14.4359,8.4054,4.5791,13.5714,7.9426,3.086,5.9436,0.8603,36.93,-238.75,52.116,150.403626
206,0,14.8096,8.5454,4.7162,13.668,7.9744,3.0967,5.9675,0.8622,36.99,-240.633,52.206,148.439581
207,0,14.6845,8.4053,4.7603,13.6389,8.0063,3.1074,5.9916,0.8624,37.1,-242.779,52.18,170.826782
208,0,14.2724,8.3925,4.4871,13.5128,8.0381,3.1183,6.0153,0.8612,36.88,-243.358,52.18,144.296652
209,0,14.0729,8.3972,4.3136,13.4822,8.0697,3.1293,6.039,0.8611,36.84,-243.662,52.186,174.125207
210,0,14.1515,8.3238,4.6342,13.3135,8.1013,3.1403,6.0627,0.8639,36.78,-244.608,52.197,174.393716
211,0,14.349,8.362,4.7426,13.3645,8.1332,3.1511,6.0866,0.863,36.98,-246.303,52.199,157.974308
212,0,14.354,8.25,4.9654,13.2586,8.1651,3.1621,6.1104,0.861,36.94,-248.003,52.191,196.466833
213,0,14.4598,8.3732,4.8724,13.3343,8.1963,3.1731,6.134,0.8614,36.78,-247.448,52.232,177.800974
214,0,13.4312,7.926,4.6261,12.9991,8.2273,3.1846,6.1575,0.8611,36.66,-247.203,52.179,181.768108
215,0,12.9293,7.5926,4.6412,12.8154,8.2585,3.1957,6.181,0.8583,36.63,-247.724,52.121,177.186663
216,0,13.5427,8.0146,4.5311,13.117,8.2899,3.2066,6.2045,0.8615,36.7,-249.373,52.146,181.396195
217,0,13.1926,7.74,4.605,12.9677,8.3217,3.2176,6.2282,0.8581,36.86,-251.805,52.121,191.00384
218,0,13.5421,7.7753,4.9058,12.981,8.3531,3.2288,6.2518,0.8566,36.71,-253.09,52.085,187.7791
219,0,13.8368,8.0848,4.7734,13.0986,8.385,3.2402,6.2756,0.8606,36.9,-254.621,52.194,185.103553
